contrast_key,contrast_label,kinase,n_substrates,mean_lfc,z_perm,null_mean,null_std
aCD3_5min,αCD3 5min,PRKCD,28,1.4693571428571428,1.0973512990292398,0.8665541071428571,0.5493254860567888
aCD3_5min,αCD3 5min,PRKCE,11,1.806909090909091,1.149516079959464,0.8405027272727272,0.8407071292734267
aCD3_5min,αCD3 5min,MAPK14,32,1.1171875,0.5494023047092019,0.83562234375,0.5124935840941406
aCD3_5min,αCD3 5min,PRKCA,70,1.181357142857143,1.1748935682755621,0.828173357142857,0.3006091745252022
aCD3_5min,αCD3 5min,AKT3,13,0.3023076923076923,-0.7562879491163321,0.8874723076923077,0.7737325658412751
aCD3_5min,αCD3 5min,AKT2,9,2.620111111111111,1.9109164559786471,0.8604611111111111,0.9208408847464876
aCD3_5min,αCD3 5min,CDK5,35,0.9834857142857144,0.4333359395188159,0.7922572857142858,0.4412937195649458
aCD3_5min,αCD3 5min,CHEK1,152,0.7107697368421052,-0.5449006755050808,0.8271104934210527,0.21350818930644305
aCD3_5min,αCD3 5min,PRKACA,118,1.5310593220338984,2.5680617912789803,0.8426788983050848,0.26805446273392713
aCD3_5min,αCD3 5min,PRKCZ,8,2.7426250000000003,2.028979492815172,0.94409125,0.8864228329407942
aCD3_5min,αCD3 5min,ROCK1,17,0.40994117647058836,-0.7348186922853512,0.8623882352941178,0.615726115263044
aCD3_5min,αCD3 5min,CDK2,159,0.6358490566037736,-0.8553987366201538,0.825566855345912,0.22178872918581838
aCD3_5min,αCD3 5min,BCR,5,1.2273999999999998,0.3179406157250541,0.8564330000000001,1.1667807812286597
aCD3_5min,αCD3 5min,AURKB,77,0.5303246753246753,-0.9569146607145883,0.846224935064935,0.33012375367345415
aCD3_5min,αCD3 5min,MAPK8,39,0.5738461538461539,-0.5007603743717886,0.7954039743589745,0.44244279669845726
aCD3_5min,αCD3 5min,GSK3B,53,0.15126415094339632,-1.8745997130372725,0.8747649999999999,0.38594951446160725
